,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,year,decade,PrimaryCaretaker
2,43163,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,222 Madison St,1.0,Sidewalk: Curb side : Cutout,Private,2000-07-11 00:00:00,8,,37.72603642,-122.4226902,2000,2000 - 2009,Private
10,94792,DPW Maintained,Maytenus boaria :: Mayten,2 Laurel St,4.0,Sidewalk: Curb side : Cutout,Private,2010-11-08 00:00:00,13,,37.79098842,-122.4508487,2010,2010 - 2019,Private
13,29149,DPW Maintained,Lophostemon confertus :: Brisbane Box,301X Jones St,1.0,Sidewalk: Curb side : Cutout,DPW,2015-06-13 00:00:00,3,3x3,37.7839498,-122.4126863,2015,2010 - 2019,DPW
14,82688,DPW Maintained,Crataegus laevigata :: English Hawthorn,1875 38th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2008-06-30 00:00:00,2,3x3,37.75197824,-122.4968327,2008,2000 - 2009,Private
18,30326,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,946 Capitol Ave,1.0,Sidewalk: Curb side : Cutout,Private,2017-10-13 11:13:00,3,,37.71906925,-122.4591242,2017,2010 - 2019,Private
21,106947,DPW Maintained,Prunus cerasifera :: Cherry Plum,2710 Baker St,2.0,Sidewalk: Curb side : Cutout,Private,2014-07-02 00:00:00,1,3x3,37.79606292,-122.4453857,2014,2010 - 2019,Private
27,46353,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2900 Washington St,2.0,Sidewalk: Curb side : Cutout,Private,2002-02-27 00:00:00,8,,37.79078673,-122.4412931,2002,2000 - 2009,Private
28,41683,Permitted Site,Pyrus kawakamii :: Evergreen Pear,68 Mars St,1.0,Sidewalk: Curb side : Cutout,Private,2000-06-19 00:00:00,10,,37.76097966,-122.4446096,2000,2000 - 2009,Private
29,89070,DPW Maintained,Laurus nobilis :: Sweet Bay: Grecian Laurel,610 18th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2008-03-03 00:00:00,2,3x3,37.77639009,-122.4768635,2008,2000 - 2009,DPW
31,89610,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',4201X Anza St,2.0,Sidewalk: Curb side : Cutout,DPW,2015-11-05 07:01:00,3,3x3,37.77769248,-122.4933791,2015,2010 - 2019,DPW
42,167503,Permitted Site,Leptospermum laevigatum :: Australian Tea Tree,3512 16th St,1.0,Sidewalk: Curb side : Cutout,Private,2018-08-16 00:00:00,3,3x3,37.76441456,-122.4314733,2018,2010 - 2019,Private
44,84674,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,4045 24th St,1.0,Sidewalk: Curb side : Cutout,Private,2012-12-27 00:00:00,4,3x3,37.75130564,-122.4328702,2012,2010 - 2019,Private
46,10331,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,838 Haight St,1.0,Sidewalk: Curb side : Cutout,Private,2007-04-12 00:00:00,8,5x5,37.77167675,-122.4361039,2007,2000 - 2009,Private
47,57298,Permitted Site,Ficus nitida :: Laurel Fig,3120 16th St,1.0,Sidewalk: Curb side : Cutout,Private,1976-08-27 00:00:00,20,5x5,37.76495791,-122.4224007,1976,1970 - 1979,Private
49,108783,DPW Maintained,Arbutus unedo :: Strawberry Tree,2055 Sunnydale Ave,5.0,Sidewalk: Curb side : Cutout,SFUSD,2015-01-06 00:00:00,3,3x3,37.71364778,-122.4224308,2015,2010 - 2019,Others
52,88336,DPW Maintained,Pyrus calleryana :: Ornamental Pear,554 Naples St,2.0,Sidewalk: Curb side : Cutout,Private,2008-07-10 00:00:00,8,3x3,37.72000186,-122.4319386,2008,2000 - 2009,Private
